Nom,Adresse,Code Postal,Ville,Téléphone,Site Web,Ligne de Métro,URL d'origine,Coordonnees,Latitude,Longitude
My Cowork : Espace de coworking à Paris (75002),"54 rue Greneta, 75002 Paris",75002,Paris,01 85 09 08 29,http://mycowork.fr/,Métro Sentier (ligne 3),https://www.leportagesalarial.com/coworking/my-cowork-espace-coworking-paris-75002/,"54 rue Greneta, 75002 Paris, 75002, Paris",48.8655286,2.347994
Le 10h10 : Espace de coworking à Paris (75003),"210 rue Saint-Martin, 75003 Paris",75003,Paris,01 44 49 92 59,http://www.le10h10.com/fr/coworking-cafe/,"Métro Etienne Marcel (Ligne 4), et Rambuteau (Ligne 11)",https://www.leportagesalarial.com/coworking/le-10h10-espace-coworking-paris-75003/,"210 rue Saint-Martin, 75003 Paris, 75003, Paris",48.8635514,2.3527513
Hubsy : Espace de coworking à Paris (75003),"41 Rue Réaumur, 75003 Paris",75003,Paris,01 43 56 89 80,https://www.hubsy.fr/,Métro Arts et Métiers (ligne 3),https://www.leportagesalarial.com/coworking/hubsy-espace-coworking-paris-75003/,"41 Rue Réaumur, 75003 Paris, 75003, Paris",48.8657417,2.3542425
Mozaik Coworking : Espace de coworking à Paris (75009),"41 Rue de la Chaussée d’Antin, 75009 Paris",75009,Paris,06 42 63 79 34,http://www.mozaik-coworking.com/,"Métro Chaussée d’Antin la Fayette (Lignes 7 et 9), Trinité d’Estienne d’Orves (Ligne 12), et Haussmann – Saint-Lazare (RER A, lignes 3, 9, 12, 13 et 14)",https://www.leportagesalarial.com/coworking/mozaik-coworking-espace-coworking-paris-75009/,"41 Rue de la Chaussée d’Antin, 75009 Paris, 75009, Paris",48.8749731,2.3323202
BGE PaRIF : Espace de coworking à Paris (75011),"18 Rue du Faubourg du Temple, 75011 Paris",75011,Paris,01 43 55 09 48,http://www.bge-parif.com/sites/bge/accueil/le-coworking.html,"Métro République (lignes 3, 5, 8, 9 et 11)",https://www.leportagesalarial.com/coworking/bge-parif-espace-coworking-paris-75011/,"18 Rue du Faubourg du Temple, 75011 Paris, 75011, Paris",48.8682932,2.3661301
Le Tank : Espace de coworking à Paris (75011),"22 bis rue des Taillandiers, 75011 Paris",75011,Paris,01 43 14 71 23,https://letank.fr/,Métro Bréguet-Sabin (ligne 5),https://www.leportagesalarial.com/coworking/le-tank-espace-coworking-paris-75011/,"22 bis rue des Taillandiers, 75011 Paris, 75011, Paris",48.8551698,2.3748803
PLANET COWORKING : Espaces de coworking à Paris (75011) Le Conan Doyle (75011) La Popina (75011),"119 rue du Chemin Vert, 75011 Paris",75011,Paris,07 64 50 05 55,http://www.planet-coworking.com,Métro Rue Saint-Maur (ligne 3),https://www.leportagesalarial.com/coworking/planet-coworking-espace-coworking-paris-75011/,"119 rue du Chemin Vert, 75011 Paris, 75011, Paris",48.8617725,2.3828818
PLANET COWORKING : Espaces de coworking à Paris (75011) Le Conan Doyle (75011) La Popina (75011),"119 rue du Chemin Vert, 75011 Paris",75011,Paris,07 64 50 05 55,http://www.planet-coworking.com,Métro Rue Saint-Maur (ligne 3),https://www.leportagesalarial.com/coworking/planet-coworking-espace-coworking-paris-75011/,"119 rue du Chemin Vert, 75011 Paris, 75011, Paris",48.8617725,2.3828818
LYDD Consulting : Espace de coworking à Paris (75012),51 rue Claude Decaen 75012 Paris,75012,Paris,01 73 71 83 68,www.lyddconsulting.com/coworking,Métro Daumesnil (ligne 6 et 8),https://www.leportagesalarial.com/coworking/lydd-consulting-espace-coworking-paris-75012/,"51 rue Claude Decaen 75012 Paris, 75012, Paris",48.8364364,2.3987197
Mon premier bureau : Espace de coworking à Paris (75014),"29 Rue Brézin, 75014 Paris",75014,Paris,Non disponible,http://www.monpremierbureau.org/,Métro Alésia (ligne 4),https://www.leportagesalarial.com/coworking/mon-premier-bureau-espace-coworking-paris-75014/,"29 Rue Brézin, 75014 Paris, 75014, Paris",48.8315267,2.3263714
We art from Paris : Espace de coworking à Paris (75015),"40 rue Castagnary, 75015 Paris",75015,Paris,06 82 56 82 11,https://weartfromparis.com/,Métro Plaisance (ligne 13),https://www.leportagesalarial.com/coworking/we-art-from-paris-espace-coworking-paris-75015/,"40 rue Castagnary, 75015 Paris, 75015, Paris",48.8324767,2.3079985
Le Well Lab : Espace de coworking à Paris (75017),"10 rue des Renaudes, 75017 Paris",75017,Paris,01 44 09 96 78,http://www.lewelllab.fr/,Métro Ternes (ligne 2),https://www.leportagesalarial.com/coworking/le-well-lab-espace-coworking-paris-75017/,"10 rue des Renaudes, 75017 Paris, 75017, Paris",48.8791801,2.3003203
Work In Paris : Espace de coworking à Paris (75017),"111 Rue Cardinet, 75017 Paris",75017,Paris,01 85 09 38 60,http://www.workinparis.com/cardinet,Métro Malesherbes (ligne 3),https://www.leportagesalarial.com/coworking/work-in-paris-espace-coworking-paris-75017/,"111 Rue Cardinet, 75017 Paris, 75017, Paris",48.8855832,2.311429
Le Laptop : Espace de coworking à Paris (75019),"6 rue Arthur Rozier, 75019 Paris",75019,Paris,01 77 16 65 24,https://www.lelaptop.com/,Métro Place des fêtes,https://www.leportagesalarial.com/coworking/le-laptop-espace-coworking-paris-75019/,"6 rue Arthur Rozier, 75019 Paris, 75019, Paris",48.8773972,2.3907515
Mutinerie : Espace de coworking à Paris (75019),"29 rue de Meaux, 75019 Paris",75019,Paris,09 81 74 92 00,http://coworking.mutinerie.org/,Métro Bolivar (ligne 7 bis) ou Colonel Fabien (ligne 2),https://www.leportagesalarial.com/coworking/mutinerie-espace-coworking-paris-75019/,"29 rue de Meaux, 75019 Paris, 75019, Paris",48.8797872,2.3719312
VOLUMES coworking : Espace de coworking à Paris (75019),"78 Rue Compans, 75019 Paris",75019,Paris,07 68 64 61 62,www.volumesparis.org,Métro Botzaris (ligne 7 bis) ou Place des Fêtes (ligne 11),https://www.leportagesalarial.com/coworking/volumes-coworking-espace-coworking-paris-75019/,"78 Rue Compans, 75019 Paris, 75019, Paris",48.8796048,2.3922105
WoMa : Espace de coworking à Paris (75019),"15 bis rue Léon Giraud, 75019 Paris",75019,Paris,01 40 18 59 21,www.woma.fr,Métro Ourcq (Ligne 5),https://www.leportagesalarial.com/coworking/woma-espace-coworking-paris-75019/,"15 bis rue Léon Giraud, 75019 Paris, 75019, Paris",48.8877195,2.382545
La Ruche : Espace de coworking à Paris (75020),"24 Rue de l’Est, 75020 Paris",75020,Paris,01 83 64 59 04,http://la-ruche.net/,Métro Pyrénées (ligne 11),https://www.leportagesalarial.com/coworking/la-ruche-espace-coworking-paris-75020/,"24 Rue de l’Est, 75020 Paris, 75020, Paris",48.8711519,2.3934187
Le Trèfle : Espace de coworking à Boulogne-Billancourt (92100),"31 bis Rue des Longs Prés, 92100 Boulogne-Billancourt",92100,Boulogne-Billancourt,01 80 87 46 01 / 07 61 63 22 57,www.groupe-letrefle.fr,Métro Marcel Sembat (Ligne 9),https://www.leportagesalarial.com/coworking/le-trefle-espace-coworking-boulogne-billancourt-92100/,"31 bis Rue des Longs Prés, 92100 Boulogne-Billancourt, 92100, Boulogne-Billancourt",48.8310873,2.2471059
Coworking95 : Espace de coworking à L’Isle-Adam (95290),"11 ter rue Bergeret, 95290 L’Isle-Adam",95290,L’Isle-Adam,01 34 69 26 93,http://www.coworking95.fr,Gare L’Isle-Adam – Parmain (ligne h transilien),https://www.leportagesalarial.com/coworking/coworking95-espace-coworking-lisle-adam-95290/,"11 ter rue Bergeret, 95290 L’Isle-Adam, 95290, L’Isle-Adam",49.1129991,2.220063
